BEACON,DAS,ROPEN,RBALNO,LST_R_OPEN,RBAL,RLIMIT,TOPEN,TBALNO,MOF,RBAL_LIMIT,EQLIMIT,EQBAL,EQHIGHBAL,EQCURBAL,BCLIMIT,BCBAL,IHIGHBAL,ICURBAL,UNSECLIMIT,UNSECBAL,MTHIGHBAL,MTCURBAL,BCOPEN,YEARS_RES,CHILDREN,EST_INC,HOME_VALUE,HOME_INC,HOME_ED,PRCNT_WHIT,PRCNT_PROF,DOB_MONTH,DOB_YEAR,AGE_INFERR,SEX,MARRIED,BUYER<P>,BCBAL1,BCBAL2
719,201,7,4,6.0,14378.0,30300.0,7,36779.0,335,3,,,,,23100.0,10697.0,38321.0,22401.0,,,120000.0,113000.0,,5.0,0,87499.5,145,73,150,95,45,,43.0,57,M,M,1,9.277812087091196,90.0
725,179,5,4,7.0,13785.0,27571.0,6,37812.0,223,1,,,,,10500.0,1735.0,26694.0,24027.0,15571.0,12050.0,85000.0,83681.0,,10.0,0,87499.5,136,64,160,97,46,,54.0,42,M,M,1,7.459338895220296,56.0
745,184,0,0,,,,3,5603.0,223,0,,,,,,,11693.0,5456.0,,,75000.0,73972.0,,8.0,0,62499.5,148,67,160,96,52,,55.0,42,M,U,1,,
716,302,5,4,3.0,7475.0,17864.0,6,7525.0,112,2,,,,,13900.0,6638.0,,,640.0,645.0,124000.0,122000.0,,1.0,0,62499.5,137,49,150,92,44,,59.0,35,M,M,1,8.80071662871916,85.0
774,25,5,2,8.0,1156.0,10043.0,3,1206.0,176,0,,,,,5600.0,528.0,,,,,,,,5.0,1,62499.5,194,83,160,96,48,,57.0,42,M,U,1,6.270988431858299,29.0
712,220,6,6,9.0,13787.0,18017.0,6,13787.0,191,4,,,,,11180.0,10936.0,,,,,,,,2.0,0,62499.5,194,83,160,96,48,,,57,F,U,1,9.299906815335225,90.0
770,278,2,1,4.0,450.0,14000.0,4,40542.0,3,0,,,,,6000.0,0.0,45651.0,40092.0,8000.0,450.0,,,,8.0,0,87499.5,129,53,140,93,49,,46.0,42,M,U,1,0.0,0.0
722,285,2,2,7.0,416.0,10340.0,2,416.0,66,0,,,,,10340.0,416.0,,,,,,,,0.0,0,87499.5,133,59,160,95,48,,,42,M,U,1,6.0330862217988015,25.0
727,240,1,1,92.0,5985.0,6600.0,2,7097.0,34,1,,,,,,,10177.0,1112.0,6600.0,5985.0,,,,3.0,0,87499.5,225,60,160,97,59,,43.0,57,M,M,1,,
724,308,1,1,27.0,1698.0,2259.0,4,6729.0,74,1,,,,,2259.0,1698.0,,,,,95650.0,93526.0,,2.0,0,62499.5,109,47,150,91,51,,64.0,35,M,M,1,7.4377951216719325,56.0
736,187,4,4,4.0,5948.0,9869.0,6,5976.0,190,2,,,,,6500.0,5013.0,,,,,142000.0,136000.0,,4.0,1,87499.5,133,59,160,95,48,,,42,M,M,1,8.519989278718239,81.0
724,182,1,1,99.0,3795.0,5000.0,2,3941.0,0,1,,,,,,,,,5000.0,3795.0,,,,11.0,1,87499.5,194,83,160,96,48,,52.0,42,M,M,1,,
722,314,7,2,3.0,1124.0,23634.0,7,20780.0,119,0,,,,,18535.0,1124.0,38160.0,19600.0,,,154000.0,150000.0,,3.0,0,87499.5,137,49,150,92,44,,51.0,42,M,M,1,7.025538314638521,46.0
786,9,1,1,34.0,195.0,8000.0,1,195.0,127,0,,,,,8000.0,195.0,,,,,,,,2.0,0,62499.5,115,51,140,97,45,,,42,M,M,1,5.278114659230517,14.0
743,31,9,6,16.0,4505.0,19886.0,9,4520.0,173,1,,,,,,,,,720.0,682.0,66750.0,60564.0,,3.0,0,42999.5,109,47,150,91,51,,37.0,57,F,U,1,,
754,154,5,4,7.0,1203.0,14720.0,12,3130.0,163,0,,,,,7500.0,938.0,,,5000.0,5.0,73000.0,71817.0,,5.0,0,87499.5,154,76,160,95,59,,,42,M,U,1,6.844815479208263,41.0
724,63,6,4,19.0,11380.0,33615.0,6,15960.0,210,1,,,,,16300.0,1981.0,5638.0,4580.0,14065.0,9399.0,90550.0,89787.0,,3.0,0,87499.5,170,73,150,96,42,,45.0,42,M,M,1,7.591861714889934,59.0
738,286,6,3,19.0,1107.0,41436.0,10,40453.0,246,0,,,40000.0,36141.0,19920.0,0.0,13000.0,11730.0,19000.0,1039.0,155000.0,148000.0,,2.0,0,87499.5,137,49,150,92,44,,35.0,57,M,M,1,0.0,0.0
771,102,2,1,8.0,3246.0,7000.0,2,3246.0,130,1,,,,,5500.0,3246.0,,,,,88350.0,86487.0,,8.0,1,87499.5,113,56,160,86,38,,52.0,42,F,U,1,8.085486772102845,71.0
724,271,4,3,2.0,22412.0,25059.0,3,22412.0,273,3,,,,,25059.0,22412.0,,,,,,,,14.0,1,62499.5,113,56,160,86,38,,,42,M,U,1,10.017396426643911,92.0
711,155,4,4,19.0,10387.0,12600.0,5,13046.0,628,4,,,,,5800.0,4935.0,5024.0,2659.0,6800.0,5452.0,,,,1.0,0,62499.5,129,53,140,93,49,,,42,F,U,1,8.504310565585223,80.0
713,320,4,4,7.0,9693.0,31671.0,8,39434.0,272,1,,,,,23671.0,9318.0,41715.0,29741.0,8000.0,375.0,82800.0,77089.0,,10.0,1,87499.5,88,36,140,85,36,,47.0,42,M,M,1,9.139810605785655,89.0
772,26,6,4,42.0,1889.0,15816.0,8,31538.0,244,0,,,,,15549.0,1889.0,7050.0,3085.0,,,75000.0,72637.0,,14.0,1,87499.5,109,47,150,91,51,,45.0,42,M,M,1,7.5443321080536885,58.0
788,89,1,1,65.0,2.0,9000.0,2,2.0,192,0,,,,,9000.0,2.0,,,,,62800.0,42636.0,,7.0,1,87499.5,109,47,150,91,51,,56.0,42,M,U,1,1.0986122886681098,1.0
729,164,2,2,23.0,4230.0,8000.0,5,13319.0,128,1,,,,,7500.0,3675.0,14979.0,9002.0,,,88000.0,83482.0,,3.0,1,62499.5,142,65,160,97,40,,59.0,35,M,U,1,8.209580483475577,74.0
759,303,1,1,60.0,473.0,10400.0,3,20964.0,107,0,,,,,10400.0,473.0,21644.0,20441.0,,,,,,3.0,0,42999.5,98,37,140,73,35,,55.0,42,M,U,1,6.161207321695077,27.0
785,77,1,0,76.0,0.0,6400.0,0,0.0,89,0,,,,,,,,,6400.0,0.0,,,,6.0,0,62499.5,79,40,150,87,45,,,42,M,U,1,,
763,62,2,2,26.0,2106.0,17500.0,3,2106.0,66,0,,,,,7500.0,275.0,,,10000.0,1831.0,93600.0,92085.0,,0.0,0,42999.5,100,49,140,91,49,,,42,M,U,1,5.62040086571715,18.0
718,194,6,4,2.0,6532.0,26120.0,4,6532.0,114,1,,,,,22000.0,5004.0,,,4000.0,1528.0,,,,0.0,0,87499.5,119,33,160,87,48,,,42,M,U,1,8.518192691749322,81.0
785,167,3,2,5.0,131.0,11867.0,3,131.0,247,0,,,,,11867.0,131.0,,,,,70000.0,68334.0,,15.0,0,42999.5,66,29,120,80,15,,48.0,42,F,U,1,4.882801922586371,11.0
771,153,1,1,99.0,172.0,8000.0,1,172.0,112,0,,,,,8000.0,172.0,,,,,,,,2.0,0,42999.5,72,32,150,71,44,,61.0,35,F,U,1,5.153291594497779,13.0
762,-34,9,5,13.0,1166.0,28308.0,5,1166.0,228,1,,,,,13514.0,674.0,22800.0,0.0,360.0,195.0,,,,1.0,0,62499.5,71,31,120,97,29,,,42,M,U,1,6.51471269087253,34.0
714,206,3,3,4.0,2321.0,10313.0,3,2321.0,188,0,,,,,10313.0,2321.0,,,,,,,,9.0,0,42999.5,72,32,150,71,44,,,42,M,M,1,7.7501841622578365,63.0
713,321,4,2,6.0,3623.0,20000.0,2,3623.0,67,1,,,,,15000.0,3623.0,,,5000.0,0.0,,,,3.0,0,87499.5,63,30,120,83,20,,46.0,42,M,M,1,8.19533366716287,73.0
